Line,Avg_Delay,Total_Delay,Incident_Count
85 SHEPPARD EAST - A B,387.0,387,1
85 SHEPPARD EAST / 985,18.0,18,1
86,6.0,12,2
86 SCARBOROUGH,19.720881427072403,18794,953
87 COSBURN,56.71875,7260,128
88 SHOUTH LEASIDE,10.0,10,1
88 SOUTH LEASIDE,45.640926640926644,11821,259
89,10.0,20,2
89 WESTON,12.5049365303244,8866,709
89/ / 989 WESTON,193.0,193,1
899,0.0,0,13
899 OTC,0.0,0,1
899 TRAINING BUS,0.0,0,2
899 TRAINING ROUTE,0.0,0,1
9 BELLAMY,25.928030303030305,6845,264
9*7,0.0,0,1
90 VAUGHAN,14.390977443609023,3828,266
900,0.0,0,3
900 AIRPORT EXPRESS,9.609929078014185,2710,282
900 AIRPORT ROCKET,11.96938775510204,1173,98
902 MARKHAM RD EXPRESS,19.27823691460055,6998,363
9020,12.0,12,1
903 KENNEDY SCARBOROUG,17.657754010695186,9906,561
904 SHEPPARD-KENNEDY E,15.954225352112676,9062,568
905 EGLINTON EAST EXPR,21.041666666666668,7070,336
906,15.0,30,2
906 AIRPORT - HUMBER C,15.0,15,1
906 AIRPORT HUMBER EXP,15.0,15,1
906 AIRPORT-HUMBER COL,14.1,141,10
9060,0.0,0,1
91 WOODBINE,22.34426229508197,5452,244
9129,5.0,5,1
913 PROGRESS EXPRESS,0.0,0,1
92 WOODBINE SOUTH,21.35542168674699,3545,166
924 VICTORIA PARK EXPR,12.832699619771864,3375,263
925,0.0,0,2
925 DON MILLS EXPRESS,10.954545454545455,6507,594
9252,12.0,12,1
927 HIGHWAY 27 EXPRESS,16.71941272430669,10249,613
927D HIGHWAY 27 EXPRE,48.0,48,1
929,10.0,10,1
929 DUFFERIN,22.5,45,2
929 DUFFERIN EXPRESS,12.595771144278608,10127,804
929 DUFFERIN EXPRESS (,10.0,10,1
929 DUFFERIN EXPRESS -,8.0,8,1
93 PARKVIEW HILLS,25.979166666666668,1247,48
935,7.0,7,1
935 JANE EXPRESS,12.463133640552995,5409,434
937 ISLINGTON EXPRESS,14.627272727272727,1609,110
938 HIGHLAND CREEK EXP,65.33333333333333,784,12
939 FINCH EAST,10.0,10,1
939 FINCH EXPRESS,16.243718592964825,19395,1194
939 FINCH EXPRESS (B),0.0,0,1
939B FINCH EXPRESS,67.5,135,2
94 WELLESLEY,31.168582375478927,16270,522
94 WELLESLEY - STATION,7.0,7,1
941 KEELE EXPRESS,15.340579710144928,2117,138
944 KIPLING SOUTH EXPR,10.35593220338983,611,59
945 KIPLING,6.0,6,1
945 KIPLING EXPRESS,12.927184466019417,2663,206
9484,10.0,10,1
94A WELLESLEY,25.0,25,1
95 YORK MILLS,13.50965250965251,13996,1036
95 YORK MILLS/995 YORK,196.0,196,1
952 LAWRENCE WEST EXPR,11.856521739130434,2727,230
953 STEELES EAST EXPRE,27.26865671641791,1827,67
953 STEELES EXPRESS,13.0,13,1
9535,15.0,15,1
954 LAWRENCE EAST EXPR,22.71186440677966,2680,118
956,5.0,10,2
9584,0.0,0,1
96,16.0,16,1
96 WILSON,19.034782608695654,19701,1035
96 WILSON (OTC),0.0,0,1
960,24.5,49,2
960 STEELES WEST EXPRE,10.747800586510264,7330,682
968 WARDEN EXPRESS,20.73913043478261,1908,92
968 WARDEN EXPRESS (RA,0.0,0,1
97,124.0,124,1
97 YONGE,45.68316831683168,32298,707
97 YONGE (C BRANCH),265.0,265,1
97B YONGE,25.0,25,1
97C YONGE,0.0,0,3
98 WILLOWDALE-SENLAC,26.071005917159763,4406,169
984 SHEPPARD WEST EXPR,15.594444444444445,2807,180
985 SHEPPARD EAST EXPR,13.157068062827225,2513,191
986 SCARBOROUGH EXPRES,9.987951807228916,1658,166
989 WESTON,15.0,15,1
989 WESTON EXPRESS,22.334883720930232,4802,215
99,88.0,88,1
